Clavero,Código tarea std,Descripción componente,DEFINICION,Std Tasks Codes,Equipment description,DEFINITION,Fecha
FRE010104,FRE010104T71,    Electroválvula,Sustitución y reparación posterior de Electroválvulas en el Panel de freno directo,FRE010104T71,Electrovalve,Replacement and subsequent repair of the solenoid valves on the direct Brake panel,
FRE010105,FRE010105T16,    Presostato,Regulación de tarado de Presostatos en Panel de freno,FRE010105T16,Pressure switch,Adjustment of the setting of the pressure switches on the Brake panel,
FRE010105,FRE010105T62,    Presostato,Sustitución y desecho de Presostatos en Panel de freno por no ser reparable,FRE010105T62,Pressure switch,Replacement and disposal of pressure switches on the Brake panel that is beyond repair,
FRE010105,FRE010105T71,    Presostato,Sustitución y reparación posterior de Presostatos en Panel de freno,FRE010105T71,Pressure switch,Replacement and subsequent repair of pressure switches on the Brake panel,
FRE010106,FRE010106T70,    Filtro de partículas,"Reparación o sustitución de elementos pertenecientes a Filtros de particulas en Panel de freno como juntas, resortes, elemento filtrante, etc…  
Se incluyen limpieza o engrase de elementos en Filtros",FRE010106T70,Particles filter,"Repair or replacement of elements belonging to the particulate filter on the Brake panel such as joints, springs, filter element, etc...
Includes cleaning or lubrication filter elements",
FRE010106,FRE010106T71,    Filtro de partículas,Sustitución y reparación posterior de Filtros de particulas en Panel de freno,FRE010106T71,Particles filter,Replacement and subsequent repair of the particulate filter on the direct Brake panel,
FRE010107,FRE010107T70,    Depósito Auxiliar,"Sustitución y reparación de elementos pertenecientes a Depósitos auxiliares de freno internos o externos al Panel de freno como juntas, bridas de sujeción y tornillería  
Se incluyen Depósitos de control o referencia",FRE010107T70,Auxiliary tank,"Replacement and repair of elements belonging to the auxiliary brake reservoirs, internal or external to the Brake panel, such as joints, clamps and fasteners
Includes control or reference reservoirs",
FRE010107,FRE010107T71,    Depósito Auxiliar,Sustitución y reparación posterior de Depósitos auxiliares de freno internos o externos al Panel,FRE010107T71,Auxiliary tank,"Replacement and subsequent repair of auxiliary brake reservoirs, internal or external to the panel",
FRE010108,FRE010108T71,    Válvula Relé,Sustitución y reparación posterior de válvula rele en Panel de freno,FRE010108T71,Realy valve,Replacement and subsequent repair of the relay valve on the Brake panel,
FRE010109,FRE010109T62,    Transductor,Sustitución y desecho de Transductores de presión en Panel de freno por no ser reparable,FRE010109T62,Transducer,Replacement and disposal of the pressure transducers on the Brake panel that are beyond repair,
FRE010110,FRE010110T16,    Convertidor electroneumático,Regulación de presión de utilidad del Convertidor electroneumático,FRE010110T16,EP converter,Adjustment of useful pressure of the electropneumatic converter,
FRE010110,FRE010110T71,    Convertidor electroneumático,Sustitución y reparación posterior de Convertidor electroneumático en Panel de freno,FRE010110T71,EP converter,Replacement and subsequent repair of the electro-pneumatic converter on the Brake panel,
FRE010111,FRE010111T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc... internos en Panel de freno   
Se incluye reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc... en paneles de tipo ""compacto"" o por bloques que controlan todas o algunas de  las funcionalidades del Sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc... 
Ej Paneles tipo EP COMPACT, EP2002, etc",FRE010111T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks fixings, pins, etc... on the Brake panel
Includes repair or replacement of wiring, connectors, terminal blocks, fixings, pins, etc... on ""compact"" type panels or for blocks that control all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... 
Eg EP COMPACT type panels, EP2002, etc...",
FRE010112,FRE010112T16,    Distensor / Regulador de presión,Regulación de tarado de Distensores o Reguladores de presión en Panel de freno,FRE010112T16,Pressure regulator,Adjustment of setting of pressure reducing valves or pressure regulators on the Brake panel,
FRE010112,FRE010112T71,    Distensor / Regulador de presión,Sustitución y reparación posterior de Distensores o Reguladores de presión en Panel de freno,FRE010112T71,Pressure regulator,Replacement and subsequent repair of pressure reducing valves or pressure regulators on the Brake panel,
FRE010113,FRE010113T71,Válvula antiretorno,Sustitución y reparación posterior de Válvula antiretorno en Panel de freno,FRE010113T71,Checkvalve,Replacement and subsequent repair of the non-return valve on the Brake panel,
FRE0102,FRE0102T70,Panel de filtros,"Reparación o sustitución de elementos pertenecientes al Panel de filtros y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc…  Se incluyen limpieza o engrase de elementos en Filtros",FRE0102T70,Filters panel,"Repair or replacement of elements belonging to the filter panel and that are not defined in the subsequent codes  Mechanical repairs of elements such as covers, joints, seals, fixings, etc... Includes cleaning and lubrication of elements on filters",
FRE0102,FRE0102T79,Panel de filtros,,FRE0102T79,Filters panel,,
FRE010200,FRE010200no,    Estructura,,FRE010200no,Structure,,
FRE010201,FRE010201no,    Toma manométrica,,FRE010201no,Pressure test point,,
FRE010201,FRE010201T62,    Toma manométrica,"Sustitución y desecho de Toma manometrica en Panel de filtros por no ser reparable  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Toma manometrica pertenezca a la parte de filtrado",FRE010201T62,Pressure test point,"Replacement and disposal of the pressure test point on the filter panel that is beyond repair
Includes the replacement of the ""compact"" type panel element the controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure test point belongs to the filter part",
FRE010201,FRE010201T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica en Panel de filtrado como juntas, muelles, racor enchufable y sujeción, etc…  Se incluye limpieza o engrase de toma manometrica  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del Sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Toma manometrica pertenezca a la parte de filtrado",FRE010201T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the filter panel such as joints, springs, plug-in fitting and fixing, etc...
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure test point belongs to the filter part",
FRE010202,FRE010202T71,    Llave de aislamiento,"Sustitución y reparación posterior de llave de aislamiento en Panel de filtrado  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Llave de aislamiento pertenezca a la parte de filtrado",FRE010202T71,Insulation switch,"Replacement and subsequent repair of the isolation valve on the filter panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the isolation valve belongs to the filter part",
FRE010203,FRE010203T71,    Válvula antirretorno,"Sustitución y reparación posterior de Válvula antiretorno en Panel de filtros  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la válvula antirretorno pertenezca a la parte de filtrado",FRE010203T71,Checkvalve,"Replacement and subsequent repair of the non-return valve on the filter panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the non-return valve belongs to the filter part",
FRE010204,FRE010204T70,    Filtro de partículas,"Reparación o sustitución de elementos pertenecientes a Filtros de particulas en Panel de filtros como juntas, resortes, elemento filtrante, etc…  
Se incluyen limpieza o engrase de elementos en Filtros  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del Sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que el Filtro de particulas pertenezca a la parte de filtrado",FRE010204T70,Particles filter,"Repair or replacement of elements belonging to the particulate filters on the filter panel such as joints, springs, filter element, etc...
Includes internal filter cleaning or greasing 
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the particulate filter belongs to the filter part",
FRE010204,FRE010204T71,    Filtro de partículas,"Sustitución y reparación posterior de Filtros de particulas en Panel de filtros  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que el Filtro de particulas pertenezca a la parte de filtrado",FRE010204T71,Particles filter,"Replacement and subsequent repair of the particulate filter on the filter panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the particulate filter belongs to the filter part",
FRE010205,FRE010205T70,    Depósito Auxiliar,"Sustitución y reparación de elementos pertenecientes a Depósitos auxiliares internos o externos al Panel de filtros como juntas, bridas de sujeción y tornillería  
Se incluyen Depósitos de control o referencia",FRE010205T70,Auxiliary tank,"Replacement and repair of elements belonging to the auxiliary reservoirs, internal or external to the filter panel, such as joints, clamps and fasteners
Includes control or reference reservoirs",
FRE010205,FRE010205T71,    Depósito Auxiliar,Sustitución y reparación posterior de Depósitos auxiliares de freno internos o externos al Panel de filtros,FRE010205T71,Auxiliary tank,"Replacement and subsequent repair of auxiliary brake reservoirs, internal or external to the filter panel",
FRE010206,FRE010206T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc… internos en Panel de filtros",FRE010206T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... of the filter panel",
FRE0103,FRE0103T70,Panel freno de estacionamiento,"Reparación o sustitución de elementos pertenecientes al Panel de freno de estacionamiento y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… ",FRE0103T70,Brake parking panel,"Repair or replacement of elements belonging to the parking Brake panel and that are not defined in the subsequent codes  Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",
FRE0103,FRE0103T71,Panel freno de estacionamiento,Sustitución y reparación posterior de panel de Freno de estacionamiento,FRE0103T71,Brake parking panel,Replacement and subsequent repair of the parking brake panel,
FRE0103,FRE0103T79,Panel freno de estacionamiento,Denuncias de fallos en el sistema de freno de estacionamiento del tren como aplicaciones indevidas o fallos en la aplicación de este sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0103T79,Brake parking panel,Reports of failures in the train's parking brake system such as brake applications without a justified cause or failures in applications without finding an anomaly after the relevant inspection and check.,
FRE010301,FRE010301T62,    Toma manométrica,"Sustitución y desecho de Toma manometrica en Panel de freno de estacionamiento 
 Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Toma manometrica pertenezca a la parte de freno de estacionamiento",FRE010301T62,Pressure test point,"Replacement and disposal of the pressure test point on the parking Brake panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure test point belongs to the parking brake",
FRE010301,FRE010301T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica en Panel de estacionamiento como juntas, muelles, racor enchufable y sujeción, etc…  Se incluye limpieza o engrase de toma manometrica  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del Sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Toma manometrica pertenezca a la parte de freno de estacionamiento  ",FRE010301T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the parking brake panel such as joints, springs, plug-in fitting and fixing, etc...
Includes the replacement of the ""compact"" type panel element the controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure test point belongs to the parking brake  ",
FRE010302,FRE010302T71,    Llave de aislamiento,"Sustitución y reparación posterior de Llave de aislamiento en Panel de freno de estacionamiento  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Llave de aislamiento pertenezca a la parte de freno de estacionamiento",FRE010302T71,Insulation switch,"Replacement and subsequent repair of the isolation valve on the parking Brake panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the isolation valve belongs to the parking brake",
FRE010303,FRE010303T71,    Válvula anticompound,"Sustitución y reparación posterior de la válvula anticompound que evita la superposición de freno de estacionamiento y servicio  
En algunos circuitos de freno neumático, la función anti-compound es realizada por una válvula de retencion",FRE010303T71,Anticompound valve,"Replacement and subsequent repair of the anti-compounding valve that prevents the simultaneous application of the parking and service brake
In some pneumatic brake circuits, the anti-compounding function is carried out by a check valve",
FRE010304,FRE010304T70,    Electroválvula,"Reparación o sustitución de elementos pertenecientes a Electroválvulas en Panel freno de estacionamiento como finales de carrera, juntas, muelles, sujeciones, cableado interno, bobina, etc…  
Se incluye limpieza o engrase de Electroválvula",FRE010304T70,Electrovalve,"Repair or replacement of elements belonging to the solenoid valves on the parking brake panel, such as limit switches, joints, springs, fixings, internal wiring, coil, etc...
Includes cleaning or lubrication of the solenoid valves",
FRE010304,FRE010304T71,    Electroválvula,"Sustitución y reparación posterior de Electroválvulas en el Panel de freno de estacionamiento  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Electroválvula pertenezca a la parte de freno de estacionamiento  ",FRE010304T71,Electrovalve,"Replacement and subsequent repair of the solenoid valves on the parking Brake panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the solenoid valve belongs to the parking brake  ",
FRE010305,FRE010305T16,    Presostato,"Regulación de tarado de Presostato en Panel freno de estacionamiento  
Incluye el ajuste del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que el Presostato pertenezca a la parte de freno de estacionamiento",FRE010305T16,Pressure switch,"Adjustment of the setting of the pressure switches on the parking brake panel
Includes the adjustment of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure switch belongs to the parking brake",
FRE010305,FRE010305T62,    Presostato,"Sustitución de Presostatos en Panel freno de estacionamiento por no ser reparable  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que el Presostato pertenezca a la parte de freno de estacionamiento",FRE010305T62,Pressure switch,"Replacement of the pressure switches on the parking brake panel that is beyond repair
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure switch belongs to the parking brake",
FRE010305,FRE010305T71,    Presostato,"Sustitución y reparación posterior de Presostatos en Panel freno de estacionamiento  Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que el Presostato pertenezca a la parte de freno de estacionamiento",FRE010305T71,Pressure switch,"Replacement and subsequent repair of the pressure switches on the parking brake panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure switch belongs to the parking brake",
FRE010306,FRE010306T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc… internos en Panel freno de estacionamiento ",FRE010306T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... of the parking brake panel ",
FRE010307,FRE010307T16,    Distensor / Regulador de presión,"Regulación de tarado de Distensores o Reguladores de presión en Panel de freno de estacionamiento  
Incluye el ajuste del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que el Distensor pertenezca a la parte de freno de estacionamiento",FRE010307T16,Pressure regulator,"Adjustment of the setting of the pressure reducing valves or pressure regulators on the parking Brake panel
Includes the adjustment of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure reducing valve belongs to the parking brake",
FRE010307,FRE010307T71,    Distensor / Regulador de presión,"Sustitución y reparación posterior de Distensores o Reguladores de presión en Panel de freno de estacionamiento  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que el Distensor pertenezca a la parte de freno de estacionamiento",FRE010307T71,Pressure regulator,"Replacement and subsequent repair of the pressure reducing valves or pressure regulators on the parking Brake panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure reducing valve belongs to the parking brake",
FRE0104,FRE0104T70,Panel de suspensión neumática,"Reparación o sustitución de elementos pertenecientes al Panel de suspensión neumática y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… ",FRE0104T70,Pneumatic suspension panel,"Repair or replacement of elements belonging to the pneumatic suspension panel and that are not defined in the subsequent codes  Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",
FRE0104,FRE0104T79,Panel de suspensión neumática,Denuncias de fallos en el funcionamiento del Panel de suspensión secundaria sin encontrar anomalía despues de la revision y comprobacion pertinente.,FRE0104T79,Pneumatic suspension panel,Reports of failures functionality of the Pneumatic suspension panel without finding an anomaly after the relevant inspection and check.,
FRE010401,FRE010401T62,    Toma manométrica,"Sustitución y desecho de Toma manometrica Panel de suspensión neumática por no ser reparable  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Toma manometrica pertenezca a la parte de suspensión secundaria",FRE010401T62,Pressure test point,"Replacement and disposal of the pressure test point on the pneumatic suspension panel that is beyond repair
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure test point belongs to the secondary suspension part",
FRE010401,FRE010401T70,    Toma manométrica,"Reparación o sustitución de elementos de la Toma manometrica en Panel suspensión secundaria como juntas, muelles, racor enchufable y sujeción, etc…  Se incluye limpieza o engrase de toma manometrica  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del Sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Toma manometrica pertenezca a la parte de suspensión secundaria",FRE010401T70,Pressure test point,"Repair or replacement of elements of the pressure test point on the secondary suspension panel such as joints, springs, plug-in fitting and fixing, etc...
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the pressure test point belongs to the secondary suspension part",
FRE010402,FRE010402T71,    Llave de aislamiento,"Sustitución y reparación posterior de Llave de aislamiento en Panel de freno de suspensión secundaria  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la Llave de aislamiento pertenezca a la parte de suspensión secundaria",FRE010402T71,Insulation switch,"Replacement and subsequent repair of the isolation valve on the secondary suspension Brake panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the isolation valve belongs to the secondary suspension part",
FRE010403,FRE010403T71,    Válvula antirretorno,"Sustitución y reparación posterior de Válvula antiretorno en Panel de suspensión secundaria  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la válvula antirretorno pertenezca a la parte suspensión secundaria",FRE010403T71,Checkvalve,"Replacement and subsequent repair of the non-return valve on the secondary suspension panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the non-return valve belongs to the secondary suspension part",
FRE010404,FRE010404T16,    Válvula de rebose,"Ajuste de presión de apertura de válvula de rebose  Incluye el ajuste del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la válvula de rebose pertenezca a la parte de suspensión secundaria",FRE010404T16,Overflow valve,"Adjustment of the overflow valve opening pressure
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the overflow valve belongs to the secondary suspension part",
FRE010404,FRE010404T71,    Válvula de rebose,"Sustitución y reparación posterior de válvula de rebose en Panel de freno de suspensión secundaria  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que la válvula de rebose pertenezca a la parte de suspensión secundaria",FRE010404T71,Overflow valve,"Replacement and subsequent repair of the overflow valve on the secondary suspension Brake panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the overflow valve belongs to the secondary suspension part",
FRE010405,FRE010405T70,    Depósito Auxiliar,"Sustitución y reparación de elementos pertenecientes a Depósitos auxiliares de suspensión secundaria internos o externos al panel como juntas, bridas de sujeción y tornillería  
Se incluyen Depósitos de suspensión secundaria instalados en bogie",FRE010405T70,Auxiliary tank,"Replacement and repair of elements belonging to the auxiliary secondary suspension reservoirs, internal or external to the brake panel, such as joints, clamps and fasteners
Includes secondary suspension reservoirs installed on the bogie",
FRE010405,FRE010405T71,    Depósito Auxiliar,Sustitución y reparación posterior de Depósitos auxiliares suspensión secundaria internos o externos al panel,FRE010405T71,Auxiliary tank,"Replacement and subsequent repair of auxiliary secondary suspension reservoirs, internal or external to the panel",
FRE010406,FRE010406T70,    Aparellaje eléctrico,"Reparación o sustitución de cableado, conectores, regletas, sujeciones, pines, etc… internos en Panel de suspensión neumática 
 Se incluyen Depósitos de suspensión secundaria instalados en bogie",FRE010406T70,Electrical gear,"Repair or replacement of internal wiring, connectors, terminal blocks, fixings, pins, etc... on the pneumatic suspension panel
Includes secondary suspension reservoirs installed on the bogie",
FRE010407,FRE010407T16,    Distensor / Regulador de presión,"Regulación de tarado de Distensores o Reguladores de presión en Panel de suspensión secundaria  
Incluye la Regulación del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que el Regulador pertenezca a la parte de suspensión secundaria",FRE010407T16,Pressure regulator,"Adjustment of the setting of the pressure reducing valves or pressure regulators on the secondary suspension panel
Includes the adjustment of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the regulator belongs to the secondary suspension part",
FRE010407,FRE010407T71,    Distensor / Regulador de presión,"Sustitución y reparación posterior de Distensores o Reguladores de presión en Panel de suspensión secundaria  
Incluye la sustitución del elemento en paneles tipo ""compacto"" que controlan todas o algunas de  las funcionalidades del sistema de freno como servicio, estacionamiento, auxilio, suministro, filtrado, etc...siempre que el Regulador pertenezca a la parte de suspensión secundaria",FRE010407T71,Pressure regulator,"Replacement and subsequent repair of the pressure reducing valves or pressure regulators on the secondary suspension panel
Includes the replacement of the ""compact"" type panel element that controls all or some of the functionalities of the braking system such as service, parking, auxiliary, supply, filtering, etc... provided that the regulator belongs to the secondary suspension part",
FRE0105,FRE0105T70,Panel de control de pantógrafo,"Reparación o sustitución de elementos pertenecientes al Panel de control de pantografo y que no estén definidos en las claves subsiguientes  reparaciones mecánicas de elementos como tapas, juntas, cierres, sujeciones, etc… ",FRE0105T70,Pantograph control panel,"Repair or replacement of elements belonging to the pantograph control panel and that are not defined in the subsequent codes  Mechanical repairs of elements such as covers, joints, seals, fixings, etc... ",
