codigo_ot,equipo,clavero,actuacion,fecha_creacion,descripcion_ot,descripcion_averia,descripcion_reparacion,comentarios
2016416,7066-UT_902,FRE0113,"""""",9/22/2011 11:05,UT 902 CARGAR EPAC,CARGAR EPAC,CARGAR EPAC,"13-9-11 JUAN Mª#CARGAR EPAC, SE CARGA VERSION 1.10A EN EPAC, COCHE MOTOR DE RESERVA"
7779367,7066-CO_911-M1,FRE0707,T70,8/9/2021 11:37,UT911 M1 BOG2 FRENO ESTACIONAMIENTO TRINQUETE NO ENGANCHA,TRINQUETE MAL,SE REPARA,""""""
8370909,7066-UT_901,FRE09,T70,8/3/2022 7:43,ROSMIMAN UT 901 CONTINUOS FALLOS TDP FUERA DE RANGO,"TRANSDUCTOR TA , DENTRO DE EPAC, FALLO INTERMITENTE",SE SUSTITUYE TRANSDUCTOR,""""""
8495767,7066-CO_911-R1,FRE0103,T79,10/25/2022 7:54,CAE TERMICO Y NO TRACCIONA,COMENTARIOS,INEXISTENTE,"<html>25.10.22<span style=""white-space:pre"">	</span>TITO<div>CAE TERMICO 86F02 Y NO TRACCIONA</div><div>SE COMPRUEBA CON MEGGER TODO EL CABLEADO QUE CUELGA DE 86F02. TODO OK</div><div><br></div><div>SE COLOCA TERMICO ""BALONAS"" PARA SEPARAR LOS PRESOSTATOS DE MINIMA DE BALONAS DEL RESTO DE EQUIPOS</div><div>SE COLOCA NUIEVO CONECTOR EN LLAVE DE AISLAMIENTO DE FRENO DE ESTACIONAMIENTO R1. SE PRUEBA. OK</div><div><br></div><div>PENDIENTE MONITORIZAR FALLO TERMICO + FALLO SUSPENSION R1</div></html>"
9336807,7066-CO_924-M1,FRE0101,T79,2/27/2024 8:32,UT924 M1 FALLA ANTIRRETORNO TA,NO SE REPRODUCE INCIDENCIA,FUNCIONAMIENTO OK,""""""
7311356,7066-CO_930-R1,FRE0708,T62,10/14/2020 17:11,UT930 R1 BOG3 SIRGA DESBLOQUEO ROTA,SIRGA ROTA,CAMBIO,""""""
7226801,7066-CO_905-R1,FRE09,T79,8/20/2020 10:12,UT905 R1 EPAC AL3276 DISCREPANCIA TRANSD Y PRESOSTATO DE ETACIONAMIENTO. CON OH,VER COMENTARIOS,COMPROBACIONES,"####Pérdida de presion coche R1 en servicio freno estacionamiento.#Hacer seguimieto#psobles fallos#-Trasductor#-Fuga en circuito#- alguna válvula de estacionamiento#					21 08 2020 LANDER , SARDON ###SE COMPRUEBA EL CIRCUITO DE FRENO ESTACIONAMIENTO (NO HAY FUGAS )#SE DESMONTA Y SE LIMPIA VALVULA Y SE REALIZAN DIVERSAS PRUEBAS DE FRENO .###NO SE APRECIA AVERIA"
7642322,7066-CO_929-M2,FRE1103,T16,5/13/2021 8:30,UT 929 M2 BOG 8 DRECHA VALVULA NIVELACION TRABAJA MUY LENTA,VA LENTA,SE DESMONTA LIMPIA Y REGULA,""""""
9752058,7066-CO_911-R2,FRE04,T70,10/10/2024 8:14,R2-OT_US3203_EQ1 Fuga antirretorno circuito freno TDP/TA_EQ1,FUGA ANTIRRETORNO,CAMBIAR KIT,"<html><body>Revisar antiretorno freno tdp<br/><a href=""https://leadmind.cafdigitalservices.com/eandd/variables?cc=ESK&pc=ce1&ut=911&startDT=2024-10-09T01:09:33.000Z&endDT=2024-10-09T03:09:33.000Z&templateId=176"" target=""_blank"">Link E&D</a></body></html>"
6329853,7066-CO_911-R2,FRE010306,T70,1/23/2019 10:04,UT911 R2 ALARMA FRENO ESTACIONAMIENTO DAÑADO (REGISTROS),COMENTARIOS. VER CON REGISTROS,SE SUSTITUYE TARJETA,"23.01.2019	ISMA / ALAIN#AL3204 EN REGISTROS. FALLOS VARIOS DIAS#SE REVISA ACCIONAMIENTO FRENO ESTACIONAMIENTO R2. OK#SE REVISA CABLEADO Y FUNCIONAMIENTO DE 32K01 R2. APARENTEMENTE BIEN. #SE CAMBIA EL CABLEADO DE LOS CONTACTOS 4-6 A 3-5. SE PRUEBA. OK#VER EVOLUCION#SI FALLA CAMBIAR RELE 32K01#					#30/01#INTERCAMBIAR RELES Y TARJETAS COSMOS. DEJAR EN EMITIDO#					31 01 2019 SARDON##SIGUE FALLANDO #SE INTERCAMBIAN TARJETAS 86A08 X 16 ENTRE R1 Y R2 #SI FALLA R1 SUSTITUIR TARJETA #SI FALLA R2 SUSTITUIR RELE #					11/02#DESDE REMOTO.fallo puntual de r1,desde que se actuo. parece que se trata de tarjeta, pero parece algo puntual en 10 dias.#Se completa temporalmente, y se obsercará de manera remota más tiempo#					26-2-19#IÑAKI G###SE DESCARGAN REGISTROS###SE OBSERVA QUE DESDE QUE SE INTERCAMBIARON LAS TARJETAS ENTRE R1 Y R2 HA HABIDO DOS FALLOS EN R1#SE CAMBIA TARJETA 86A08-X6 DE R1 (ANTERIORMENTE EN R2)##QUITADA  03154467#MONTADA  03146165###EN SEGUIMIENTO#					desde 14/02 sin fallos. se completa. #Solución cambio tarjeta#					11 03 2019 ANDONI###REGISTROS OK #					OT VA CON NCR 355262"
8298649,7066-CO_919-M2,FRE0101,T79,6/20/2022 10:19,ROSMIMAN UT919 M2 BOGIE ECHA HUMO,COMENTARIOS,INTERCAMIO EPAC M1-M2,17.06.22 SARDON#SE REVISAN BOGIES EN M2. NO SE OBSERVAN ANOMALIAS RESEÑABLES: FRENA/DESFRENA OK#ZAPATAS EJE14 QUEMADAS. SE SUSTITUYEN#SE INTERCAMBIAN EPAC M1-M2#* ESTA EPAC ESTA DE REPI OT8276853
6378336,7097-UT_962,FRE04,T71,2/21/2019 8:34,ROSMIMAN UT 962 MANGUITO SUELTO CR LADO DERECHO (FALLO EN ALGUN EQUIPO FRENO-SAL,MANGUERA ANTIBLOQUEO ROTA POR ELEMENTO EN VIA,CAMBIO DE MANGUERA SENSOR,OT VA CON REPI
4192031,7066-UT_916,FRE0403,"""""",9/8/2015 13:15,ROSMIMAN UT 916 FALLO LEVE DE FRENO WSP AL3023 R1 -R2,FALLO DE WSP,SE ANALIZAN REGISTROS  Y SE VE UN FALLO ESPORADICO,8-9-15##JM##FALLO PUNTUAL DE LA IO1 DE R1##SE ANALIZAN REGISTROS Y SE APRECIA UN FALLO PUNTUAL DE LA IO1 DE R1 ESTANDO LA UNIDAD PARADA.#NO SE VUELVE A REPRODUCIR LA INCIDENCIA.
5040083,7097-UT_954,FRE0704,"""""",12/1/2016 7:59,UT954 SOPORTES TIMONERIA DE FRENO ROTOS EJES 2 Y 10,CAMBIAR SOPORTES,CAMBIAR SOPORTES,""""""
7192331,7066-CO_921-R1,FRE0707,T62,7/28/2020 10:48,UT921 R1 BOG4 TRINQUETE FRENO ESTACIONAMIENTO NO ENGRANA,TRINQUETE REDONDEADO,CAMBIO TRINQUETE,""""""
7186374,7066-CO_924-R1,FRE0707,T62,7/23/2020 13:19,UT 924 R1 BOG 3 DESBLOQUEO FRENO NO RECUPERA,SIRGA ROTA,SE CAMBIA SIRGA,""""""
7291313,7066-CO_922-R1,FRE09,T70,10/1/2020 11:37,UT 922 FALLOS TODOS LOS EJES VELOCIDAD EPAC R1,NO LEE VELOCIDAD EPAC R1,FALLO DE EPAC. SE CAMBIA,"07/10/2020     IBAI/ARITZ###SE OBSERVA EN REGISTROS MUCHOS FALLOS DISCREPANCIA VELOCIDAD ANGULAR EN R1 EN TODOS LOS EJES#SE COMPRUEBAN CAJAS REGISTRO Y CONEXIONADO DE LOS SENSORES.OK#SE CAMBIA EPAC R1###QUITADO                10 09/10#COLOCADO            048 05/12 (QUITADO DE LA UT 902/R1)###EPAC Nº10 TIENE FALLO DE TB3 Y AL QUITAR EL TREN QUEDA OK. ESTO TIENE OTRA OT QUE YA ESTA CERRADA OT:7276981####					19/10/2020 OMAR##VERIFICADO REMOTAMENTE Y DESPUES DE CAMBIO DE EPAC 07/10/20 DESAPARECEN LOS FALLOS.. EL ORIGEN DEL PROBLEMA DE VELOCIDAD ERA EL EPAC. ###SE RECOGE INFO Y SE ENVIARÁ A FAIVELEY ITALIA PARA SU REPARACIÓN#					OT VA CON NCR 442675"
6279039,7097-UTTG,FRE0101,T71,12/18/2018 16:24,REPI UT 972 EPAC NO APLICA FRENO DE ESTACIONAMIENTO,COMENTARIOS,COMENTARIOS,19/12/2018     JUANMARI##SE MONTA EPAC EN LA UT 955 Y SE OBSERVA QUE LA VARIABLE TPB NO ACTUA AL ACTIVAR O DESACTIVAR FRENO DE ESATACIONAMIENTO DESDE CABINA
8046503,7066-CO_924-R2,FRE1103,T16,1/18/2022 7:40,UT 924 R2 VALVULA NIVELACION BOG 6 IZQ FUGA CONSTANTE,EN FUGA CONSTANTE,SE ALIGERA Y REGULA,""""""
2610641,7066-CO_906-R1,FRE0113,"""""",1/11/2013 11:54,UT 906 R1 FALLA FRENO ESTACIONAMIENTO,R1  FALLO FRENO ESTACIONAMIENTO,CAMBIAR EPAC,"09.01.2013 PATXI TITO J.MARI#R1 ENTRA CON FALLO EN FRENO DE ESTACIONAMIENTO.#ESTA UNIDAD TIENE PUESTO UN  EPAC NUEVO EN PRUEBAS.#EPAC AVERIADO, NO LIBERAR FRENO DE ESTACIONAMIENTO.#EL EPAC PUESTO PARA PRUEBA ESTA AVERIADO, NO LIBERA FRENO DE ESTACIONAMIENTO.#SE CAMBIA VALVULA PERO EL PROBLEMA SIGUE.#SE DEJA EL EPAC QUE TENIA (NºSERIE:029)#EPAC AVERIADO Nº SERIE: 025"
9652798,7097-CO_956-M1,FRE010105,T16,8/21/2024 8:45,"UT956 M1 OT_AL3308  ANOMALÍA PRESOSTATO TDP 6,5bar",PRESOSTATO TDP CAMBIADO COMENTARIOS,COMENTARIOS,"<html><div>22/08/2024<span style=""white-space: pre,"">	</span>ANGEL</div><div><br></div>DÍAS 19 Y 20/08 AL ARRANCAR EL TREN SIN TDP, COMIENZA A LLENAR AIRE Y LA SEÑAL <i>""I2S_M1_N_PRES_TDP"" (MONITORIZACIÓN PRESOSTATO TDP PARA DETECTAR TDP&gt,6,5bar) </i>SE VUELVE A ACTIVAR CUANDO NO DEBERÍA YA QUE TIENE TDP=10bar.&nbsp,LUEGO YA SE NORMALIZA SOLO UNA VEZ PASADO 5-10 MINUTOS.<div><div><br></div><div>REVISAR PRESOSTATO TDP.</div></div></html>#					<html>22/08/2024 IÑAKI G<div>SE VE EN LEADMIND QUE SE QUEDA ACTIVADA LA VARIABLE I_N_PRES_TDP HABIENDO MAS DE 6,5 BAR.</div><div><br></div><div>SE CAMBIA PRESOSTATO TDP</div><div><br></div><div>VER EVOLUCION</div><div><br></div><div>SI SIGUE FALLANDO PROBAR A CAMBIAR LA X15 DE 86A02 ENTRE CABINAS</div></html>#					<html>02/09/2024<span style=""white-space:pre"">	</span>ANGEL<div><br></div><div>TODO OK. COMPLETAR OT.</div></html>#					<html>REPI</html>"
8101259,7066-UT_913,FRE09,T79,2/21/2022 7:35,"ROSMIMAN UT913 M1 M2 TRAS CAMBIO CABINA N TRACCIONA, METE FRENO Y RELE NO EXCITA","INEXISTENTE, NO SE REPRODUCE NI APARECEN FALLOS EN REGISTROS",COMPROBACIONES,""""""
5063925,7066-CO_907-M1,FRE0103,"""""",12/16/2016 12:44,UT 907 M1 NO APLICA FRENO ESTACIONAMIENTO,VALVULA AGARROTADA,"SE DESMOTA, LIMPIA Y ENGRASA",""""""
8666118,7066-CO_902-R1,FRE0103,T70,2/6/2023 6:41,R1-Retardo en la aplicación Freno Estacionamiento_EQ1,SUCIEDAD,SE LIMPIA,Freno estacionamiento cuesta aplicar
7186158,7066-CO_924-R2,FRE1103,T71,7/23/2020 11:24,UT 924 R2 BOG 5 IZQ VALVULA NIVELACION EN FUGA,COMENTARIOS,CAMBIO VALVULA NIVELACION,"23.07.2020	ALAIN / RAFA#VALVULA NIVELACION CARGA MUY LENTA Y AL LLEGAR A PRESION OBJETIVO SE PONE EN FUGA#SE DESMONTA VALVULA Y AL LIMPIAR SE VE QUE EL VASTAGO CENTRAL ESTA DAÑADO#SE INTENTA SUSTUTUIR POR OTRO Y TAMPOCO FUNCIONA BIEN#SE CAMBIA VALVULA AL COMPLTO, SE NIVELA Y OK"
7074071,7066-UT_901,FRE1103,T16,4/30/2020 11:18,UT 901 M1 Y R1  2 VALVULAS NIVELACION EN FUGA,COMENTARIOS,PENDIENTE CAMBIO R1,"29.05.2020	ALAIN / LANDER#M1 #LA VALVULA FUGA Y NO RESPONDE A SUBIR NI BAJAR PRESION. SE DESMONTA Y ESTA MUY DETERIORADA. SE SUSTITUYE Y NIVELA. OK#M2 BOG4 LADO IZDO#LA VALVULA RESPONDE A SUBIR Y BAJAR PRESION PERO SE QUEDA CON FUGA PORQUE LA PIEZA DE BRONCE TIENE EL ASIENTO DAÑADO. QUEDA OK TANTO EN ALTURAS COMO EN PRESIONES. #PENDIENTE SUSTITUIR CUANDO HAYA MATERIAL##					04/06/2020       GABI/MIKEL###SE DESMONTA VALVULA SE LIMPIA Y SE CAMBIA TORICA INTERIOR#SE PRUEBA EN TREN Y FUGA#SE COGE VALVULA REPARADA Y TAMBIEN FUGA#SE DEJA LA VALVULA QUE TRAIA LA UNIDAD#					8-6-20###MARKEL DANI###SE DESMONTA VALVULA DE NIVELACION DE BOG 4 R1#SE COLOCA VALVULA DE PARQUE, BOG R1A918###ALTURAS Y PRESIONES DE NIVELACION DESCOMPENSADAS. SE NIVELAN. OK#"
3135648,7066-UT_929,FRE01,"""""",2/17/2014 13:32,UT 929 P 1-4-5 M2 Y P 2-4-6 R2 NO HABILITA,P 1-4-5 M2 Y P 2-4-6 R2 NO HABILITA,RELACIONADO CON OT 3135586,""""""
3270026,7066-CO_910-R2,FRE01,"""""",5/12/2014 8:36,UT 910 R2 TERMICO 86F02 CAIDO,TERMICO 86F02 CAIDO,PANEL FRENO EN CORTO,"09.05.2014 FERNANDO - ANDONI - LAURE#EL TERMICO 86F02 NOS LO ENCONTRAMOS BAJADO Y EL FRENO DE ESTACION NO TRABAJA NI SEÑALIZA LA LLAVE DE AISLAMIENTO. HMI PUNTO AZUL##EPAC EN FALLO POR LO CUAL SE CARGA LAS BOBINAS DEL PANEL DE FRENO#SE MONTA OTRO PANEL (DE LOS QUITADOS) TAMBIEN FALLO (BOBINA MAL)#SE MONTA EL PANEL DEFINITIVO Y SE CAMBIA EL EPAC##SE QUEDA MONTADO EPAC 018 11/10 PANEL FRENO ESTACIONAMIENTO S10 003 (SIN MODIFICACION)#SE DAN POR (NO VALIDOS) EPAC 024 03/11 Y LOS PANELES MA11 005 (SIN MODIFICACION) MY11 001 (MODIFICACO)#(NOTA: DEBIDO AL FALLO DEL EPAC, PUERTAS, RAMPAS Y DILAX DAN PROBLEMAS)"
8621414,7066-CO_904-M1,FRE010108,T71,1/11/2023 6:42,"M1-PRESIÓN TDP POR DEBAJO DE 6,5BAR(VER PLANTILLA)",COMENTARIOS,DESMONTAR VALVULA RELE Y LIMPIAR,"PRESIÓN TDP POR DEBAJO DE 6,5BAR|TDP PRESIOA 6,5 BAR BAINO GUTXIAGO#					<html><span style=""font-family: Roboto, sans-serif, font-size: 16px, color: rgba(0, 0, 0, 0.87),"">904-M1&nbsp,</span><span style=""font-family: Roboto, sans-serif, font-size: 16px, box-sizing: border-box, font-weight: bolder, color: rgba(0, 0, 0, 0.87),"">NS21&nbsp,</span><span style=""font-family: Roboto, sans-serif, font-size: 16px, color: rgba(0, 0, 0, 0.87),"">en ocasiones al meter freno, se queda en fuga y vacia la tdp por debajo de 6.5, se intercambia a M2 para confirmar EPAC&nbsp,</span><a href=""https://leadmind.cafdigitalservices.com/eandd/variables?ut=904&amp,startDT=2023-01-10T05:29:00.000Z&amp,endDT=2023-01-10T05:32:59.000Z&amp,templateId=375&amp,pc=ce1&amp,cc=ESK"" style=""font-family: Roboto, sans-serif, font-size: 16px, box-sizing: border-box, color: rgb(39, 25, 104), text-decoration-line: none,"">UT 904 - 10 ene. 2023 6:29:00</a><div style=""""><br></div></html>#					<html>11.01.2023<span style=""white-space:pre"">	</span>ANTON<div>EPAC M1 AL FRENAR QUEDA EN FUGA Y VACIA TDP. VER PLANTILLA CBM</div><div>SE INTERCAMBIAN EPAC M1 Y M2</div><div>EL EPAC DE M1 NO TENIA EL FILTRO QUE VA MONTADO EN SU PARTE TRASERA. SE COLOCA FILTRO</div><div>VER EVOLUCION</div></html>#					<html><div><br></div><span style=""border: 0px, font-variant-numeric: inherit, font-variant-east-asian: inherit, font-stretch: inherit, font-size: 12pt, line-height: inherit, font-family: Roboto, margin: 0px, padding: 0px, vertical-align: baseline, background-image: initial, background-position: initial, background-size: initial, background-repeat: initial, background-attachment: initial, background-origin: initial, background-clip: initial,"">904-EPAC PROBOCA FUGA EN TDP, SE HA TRASLADADO A M2 Y PRESENTA LA MISMA ANOMALIA&nbsp,</span><a href=""https://protect2.fireeye.com/v1/url?k=31323334-501d5122-313632f7-454445555731-1464be9996123a33&amp,q=1&amp,e=b29df4a1-f310-4e8f-a3f5-56ced0f85e45&amp,u=https%3A%2F%2Fleadmind.cafdigitalservices.com%2Feandd%2Fvariables%3Fut%3D904%26startDT%3D2023-01-12T12%3A00%3A00.000Z%26endDT%3D2023-01-12T12%3A03%3A38.000Z%26templateId%3D193%26pc%3Dce1%26cc%3DESK"" target=""_blank"" rel=""noopener noreferrer"" data-auth=""NotApplicable"" data-safelink=""true"" data-linkindex=""0"" style=""border: 0px, font-variant-numeric: inherit, font-variant-east-asian: inherit, font-stretch: inherit, font-size: 14.6667px, line-height: inherit, font-family: Calibri, sans-serif, margin: 0px, padding: 0px, vertical-align: baseline, color: rgb(5, 99, 193),""><span style=""border: 0px, font-style: inherit, font-variant: inherit, font-weight: inherit, font-stretch: inherit, font-size: 12pt, line-height: inherit, font-family: Roboto, margin: 0px, padding: 0px, vertical-align: baseline, color: rgb(39, 25, 104), background-image: initial, background-position: initial, background-size: initial, background-repeat: initial, background-attachment: initial, background-origin: initial, background-clip: initial, text-decoration-line: none,"">UT 904 - 12 ene. 2023 13:00:00</span></a></html>#					<html>13.01.23<span style=""white-space:pre"">	</span>ALAIN<div>SE DESMONTA EPAC: ELECTRONICA, CONECTORES,,, HASTA LLEGAR A VALVULA RELE.</div><div>SE DESMONTA EL RELE Y UNA DE LAS JUNTAS PARECE ESTAR MVIDA DEL ALOJAMIENTO. SE MUEVE Y ENGRASA. OK</div><div>SE SUELTAN PLATILLOS EPAC Y SE VE MUCHA SUCIEDAD QUE PUEDE ENTRAR A LA VALVULA RELE. SE LIMPIA</div><div>SE MONTA EPAC Y FALLA TRANSDUCTOR TPil. SE REVISA Y ERA UN PROBLEMA DE CABLEADO. SE CORRIGE</div><div>SE PRUEBA EPAC Y VA BIEN</div><div>VER EVOLUCION</div></html>"
3371880,7066-CO_906-R1,FRE01,"""""",7/3/2014 21:19,UT 906 R1 FALLO EPAC,FALLO EPAC,CAMBIAR EPAC Y PASTILLAS DE FRENO,03.07.2014 ENRIQUE C. - TITO - ANDONI - MIKEL - CARLOS - LAURE#MAL ARRANQUE DEL EPAC AL INICIO DE JORNADA#PINZAS QUEMADAS AL NO LIBERAR EL FRENO TIRANDO DE SIRGAS##SE DESCARGAN REGISTROS DE EPAC Y DE TREN#SE CAMBIA ZAPATAS DE FRENO DE ESTACIONAMIENTO#SE CARGA NUEVA VERSION EPAC#SE LIMPIA CABINA POR ESTAR CON POLVO DE EXTINTOR#EPAC QUEDA EN FUNCIONAMIENTO. OK
8073125,7066-CO_913-M2,FRE010113,T71,2/2/2022 9:34,UT 913 M2 POSIBLE FUGA EN CIRCUITO DE FRENO,ANTIRRETORNO MAL,SE SUSTITUYE,""""""
9831681,7097-CO_954-R1,FRE09,T71,11/21/2024 10:18,UT 954 EPAC R NO APLICA FRENO DE ESTACIONAMIENTO,NO APLICA FRENO DE ESTACIONAMIENTO,SE CAMBIA EPAC,"<html>20-11-24<div>ANDRES IBAI</div><div><br></div><div>CAMBIO DE EPAC R POR UNO DE OVERHAUL</div><div><br></div><div>QUITADO&nbsp, 007</div><div>MONTADO&nbsp, 022</div><div></div></html>#					<html><b style=""""><font size=""4"">SIN DAR SALIDA AL EPAC- ENVIAR A COFEMA</font></b></html>#					<html>4100177195- ºnº de rep. externa</html>"
8663995,7066-CO_907-M2,FRE0103,T70,2/3/2023 6:46,M2-Retardo en la aplicación Freno Estacionamiento_EQ1,VALVULA SUCIA,"LIMPIAR, ENGRASAR Y PROBAR",Freno estacionamiento cuesta aplicar
